page;page-href;linkToDockerfile
"Previous";"https://github.com/search?p=55&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/CakeSolutionsTest/ansible_docker_elk_wordpress/blob/ee57ff96536081d30b6fae029432b976fadfe6d9/ansible/cs_configuration/docker/application/wordpress/Dockerfile"
"Previous";"https://github.com/search?p=92&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/TNRIS/docker-node-mapnik/blob/47b15e725bfc52fce6ab8c5851992c8410492439/Dockerfile"
"Previous";"https://github.com/search?p=30&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/coduno/docker/blob/3d6c6a3ae7fca8a050f5cc81e53651cb36d19627/scala/Dockerfile"
"Previous";"https://github.com/search?p=60&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/suchkultur/sidomotest/blob/5fa813aeb77b856c90b96fbfe0b9a7eff669f304/avconv/Dockerfile"
"Previous";"https://github.com/search?p=5&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/rmcfrazier/pnwphp-docker-intro/blob/0952cb7cb799f5785b9912a79f453cd370c2201b/docker_intro/shared/dockerfile/Dockerfile"
"Previous";"https://github.com/search?p=69&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/sioh/dockerfiles/blob/52c55277cfe52390b6134d09d521c19a35625060/ubuntu-latex/Dockerfile"
"Previous";"https://github.com/search?p=57&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/jmeth/docker-jenkins-maven/blob/bb433fcf9c6fdcd6853c454660cacd7e4745f7f7/Dockerfile"
"Previous";"https://github.com/search?p=52&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/masahino/mruby-bin-mrbmacs-gtk/blob/35ebb64f7d1a96ad6af741de0f775eda8558eb81/Dockerfile"
"Previous";"https://github.com/search?p=10&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/alancnet/base/blob/95b224003f8cc8a185600fdee04ad4fb831eec51/Dockerfile"
"Previous";"https://github.com/search?p=20&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/kungkk/oracle_11g_xe/blob/0bfab487acba18964b5d9f390450ba5772ce4bb1/Dockerfile"
"Previous";"https://github.com/search?p=71&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/big-data-europe/pilot-sc7-spark-worker/blob/f4f2b7c0f5e5c05a0ca14a7e0385afd0388854cd/Dockerfile"
"Previous";"https://github.com/search?p=96&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/notonthehighstreet/minke-generator-spring/blob/e447b637e581c3bbf9a5e4661f7c0f14edd6216f/lib/generators/spring/scaffold/_build/dockerfile/build/Dockerfile"
"Previous";"https://github.com/search?p=4&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/micloud-dockers/apache2/blob/05a2c441192f51bcc29a76a60cc22f187faaf23c/Dockerfile"
"Previous";"https://github.com/search?p=49&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/flrngel/spetha/blob/5736f4b81d8dbb4b817a4d3c29c8fdec0a9a6e7b/Dockerfile"
"Previous";"https://github.com/search?p=81&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/chiren/ubuntu-12.04-wget/blob/2d96e7e1005992a80ae16fecce819807224dd481/Dockerfile"
"Previous";"https://github.com/search?p=40&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/rpsingh2/HW4/blob/7efd6b2a3baa0019722c99a4a325b16f64086f19/HW4/Part1/Dockerfile"
"Previous";"https://github.com/search?p=65&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/GDP-ADMIN/jenkins-pipeline/blob/29ea62093c692eb86bdfb0912a615c1971cbf133/Dockerfile"
